id,name,latitude,longitude,address,hash_tags,unique_page
30,Mythik,45.496039,-73.569309,1909 Avenue des Canadiens-de-Montréal,"Market,Regional,Grill,Pasta,Seafood/Fish,Tartare",https://www.restomontreal.ca/resto/mythik-downtown/17442/en/
31,40 Westt Steakhouse,45.481931,-73.79601,2305 Route Transcanadienne,"American,Canadian,Mediterranean,Seafood/Fish,Steakhouse,Salads",https://www.restomontreal.ca/resto/40-westt-steakhouse-pointe-claire/351/en/
32,Le Shack Du Pêcheur Express,45.333362,-72.648101,10 Boulevard de Bromont,"Seafood/Fish,Fish & Chips,Grill,Casse-Croute (Snack Bar),Tartare,Burgers",https://www.restomontreal.ca/resto/le-shack-du-pecheur-express-bromont/14984/en/
33,Munchiz Exotique,45.555916,-73.748095,3274 Boulevard St-Martin O,"Snacks & Treats,Desserts & Sweets,Bubble tea",https://www.restomontreal.ca/resto/munchiz-exotique-chomedey/15154/en/
34,Sésame,45.502071,-73.559597,380 Rue St-Jacques O,"Asian,Fusion,Chinese,Japanese,Thai,Vegetarian",https://www.restomontreal.ca/resto/sesame-old-montreal/4812/en/
35,SHAKER Cuisine & Mixologie,45.640147,-72.962191,3200 Avenue Cusson,"Burgers,Tartare,Comfort Food,Poke Bowl,Poutine,Salads",https://www.restomontreal.ca/resto/shaker-cuisine-mixologie-saint-hyacinthe/13883/en/
36,Maison Publique McLean's,45.500205,-73.573628,1420 Rue Peel,"Pub Food,Comfort Food,Casse-Croute (Snack Bar),Burgers,Chicken Wings,Poutine",https://www.restomontreal.ca/resto/maison-publique-mcleans-downtown/17601/en/
37,La Bêtise,45.465764,-73.56696,3807 Rue Wellington,"Tapas,Creative,Tartare,Poutine,Fusion,Burgers",https://www.restomontreal.ca/resto/la-betise-verdun/13403/en/
38,État-Major,45.549447,-73.541968,4005 Rue Ontario E,"Bistro,French,Market,Regional,Tartare",https://www.restomontreal.ca/resto/etat-major-hochelaga-maisonneuve/7121/en/
39,Rouch Sandwicherie,45.5206,-73.586112,35 avenue du Mont-Royal E,"Sandwiches,Comfort Food",https://www.restomontreal.ca/resto/rouch-sandwicherie-le-plateau/19896/en/
40,La Verità,45.485138,-73.802944,11680 Boulevard de Salaberry,"Italian,Grill,Pasta",https://www.restomontreal.ca/resto/la-verita-dollard-des-ormeaux/2468/en/
