id,rating,text,date,average_rating,amount_of_rating
24,5.0,"Excellent sushi, foie gras & oysters rockerfeller must try.View more","Oct 15, 2024",,287
25,2.0,"J'y suis allée avec des collègues pour le 5@7 suivi du souper. Au bar, le serveur m'a demandé si je voulais mon martini avec du gin ou de la vodka. Je lui ai dit vodka. Il ne m'a pas demandé si je voulais de la vodka premium en payant un supplément. La réponse aurait été non. Lorsque la facture est arrivée, surprise de constater qu'on m'avait donné de la vodka'premium' en me chargeant le gros prix sans mon accord.

Nous sommes ensuite montés au 2e pour le souper avec menu de groupe. Deux de mes collègues ont trouvé des morceaux d'elastique noir dans leur potage. Aucune excuse de la part du personnel ni réduction sur la facture.

Mon tartare de boeuf avait une belle consistance mais sans aucun goût.

Le menu de groupe incluait un dessert. Nous avons dû leur rappeler pour qu'on nous l'offre. À aucun moment durant le repas les serveurs sont venus nous voir pour s'assurer que tout était OK.

Je ne comprends pas la popularité de cet endroit. J'ai l'opportunité de fréquenter des steakhouses plusieurs fois par mois & rien chez celui-ci ne justifie ses prix ni sa réputation. L'endroit étaient d'ailleurs pratiquement vide, autant au bar qu'à la salle à manger & ce, durant les 3 hrs durant lesquelles nous avons été sur place.

Nous avions choisi cet endroit en espérant qu'il allait plaire à nos collègues de quatre autres provinces qui étaient ici pour notre rencontre annuelle. Ce fut un échec sur toute la ligne.View more","Apr 9, 2025",,212
25,5.0,"Nous allons à ce superbe restaurant de 2 à 3 fois par année & toujours satisfait. Sur les photos la bavette & l'entrée de carpaccio de bison, un délice.View more","Apr 6, 2025",,212
25,3.0,"Servers on Tuesday were really rude, it seems that they are only nice to regular customers only 🙃🙃
Food 8/10View more","Apr 1, 2025",,212
25,5.0,Steak was great & staff provided excellent service.View more,"Mar 29, 2025",,212
25,5.0,"Service impeccable de la part de Éric, nous étions choyés.View more","Mar 21, 2025",,212
25,5.0,"Super Restoran, friendly staff, fresh ant tasty food (try aged steak) veggies, beautiful ambience! Thank youView more","Mar 16, 2025",,212
25,5.0,One of my favourite restaurants.View more,"Mar 14, 2025",,212
25,5.0,"First 5 stars i ever give!! Service was perfect( hugo) was our waiter. Food was delicious, the atmosphere was really cool & the music was low fi with abit of trip hop. Was a very nice experience! Definitely going back!View more","Mar 8, 2025",,212
25,5.0,A few years ago I stopped in this fabulous restaurant & it was the best meal & steak I ever had....amazing service & food....View more,"Mar 8, 2025",,212
25,5.0,"L'ambiance est cozy, le staff est génial & que dire de la nourriture... juste wow!!View more","Mar 6, 2025",,212
25,5.0,"La qualité du steak est incroyable
Le personnel est très poli & compétant
L'ambiance est branchée
Un de nos resto préfView more","Mar 2, 2025",,212
25,4.0,"Restaurant pour les amateurs de boeuf (steak, contre filet, etc). Nous avons aimé notre expérience & avons bien mangé! Le service était également bon, sans plus ! Ambiance agréable, nous sommes allés au 2e étage pour avoir une ambiance plus cozy! Nous avons également pris des calmars frits en entrée, ils étaient délicieuxView more","Mar 1, 2025",,212
25,5.0,"Sans réservation un samedi soir, le patron nous a accomodé & franchement, aucun regret. Service, menu & ambiance, un 5 étoiles all the way. Un patron attentionné qui est partout. Du staff allumé, rapide & efficace & surtout des plats & des viandes haute qualités. On va y retourner.View more","Feb 23, 2025",,212
25,5.0,Le meilleur restaurant steakhouse Montréal/rive sud. Jy vais depuis l'ouverture.... notre restaurant préféré à moi & ma femme !View more,"Feb 22, 2025",,212
25,5.0,"⭐?⭐?⭐?⭐?⭐? Elegant Steakhouse with Outstanding Service & Quality Steaks!

L'Aurochs Steakhouse offers a refined & welcoming atmosphere, perfect for a special night out. The design is modern & sophisticated, creating a warm & upscale dining experience.

The service is exceptional, with professional & attentive staff ensuring that every detail is taken care of. The steaks are of the highest quality, cooked to perfection, & bursting with flavor. The menu also offers a great selection of sides & wines to complement the meal.

If you're looking for a top-tier steakhouse with an elegant ambiance & excellent service, L'Aurochs is a must-visit! Highly recommended! 🥩🍷✨

⭐?⭐?⭐?⭐?⭐? Un steakhouse élégant avec un excellent service & des viandes de qualité !

L'Aurochs Steakhouse offre une ambiance raffinée & accueillante, idéale pour une soirée spéciale. Le design est moderne & sophistiqué, créant une expérience culinaire haut de gamme & chaleureuse.

Le service est irréprochable, avec un personnel professionnel & attentionné qui veille à chaque détail. Les steaks sont d'une qualité exceptionnelle, parfaitement cuits, & pleins de saveur. Le menu propose également un excellent choix d'accompagnements & de vins pour sublimer le repas.

Si vous recherchez un steakhouse haut de gamme avec une ambiance élégante & un service de qualité, L'Aurochs est une adresse incontournable ! Je recommande vivement ! 🥩🍷✨View more","Feb 20, 2025",,212
